id,o_S1,o_S2,o_S3,o_S4,o_S5,a_S1,a_S2,a_S3,a_S4,a_S5
MzA4MjQ5Mzk5MA==,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
MzA4MjUxNTkwNg==,21,0,2,37,51,0.525,0.0,0.0571428571429,0.90243902439,0.944444444444
MzA4Mjk1ODA5NA==,130,92,94,86,97,0.464285714286,0.968421052632,0.969072164948,0.843137254902,0.625806451613
MzA4MzA4Mzc5MA==,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
MzA4MzI3ODg0OA==,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
MzA4MzI3OTUxMg==,42,40,49,47,50,0.424242424242,0.298507462687,0.550561797753,0.546511627907,0.45871559633
MzA4MzIxNjQ0Ng==,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
MzA4MzYyNTg2OQ==,382,412,349,354,371,0.782786885246,0.735714285714,0.710794297352,0.761290322581,0.769709543568
MzA4NDAxMTQyNA==,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
MzA4NDAyMzgxMw==,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
MzA4NDMwMzcwNg==,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
MzA4NDUzNDMxNQ==,0,2,8,13,21,0.0,0.133333333333,0.347826086957,0.5,0.677419354839
MzA4NDYwMjQxMQ==,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
MzA4NTI0Mjg2Nw==,0,0,2,38,131,0.0,0.0,0.00666666666667,0.169642857143,0.552742616034
MzA4NjE3MzQ1MA==,30,38,33,46,36,0.789473684211,0.95,0.80487804878,0.958333333333,0.9
MzA4NjEwMTAwMw==,94,171,83,88,236,0.494736842105,0.597902097902,0.293286219081,0.2,0.650137741047
MzA4NjEyMjUzOA==,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
MzA4NjM2MDA1NA==,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
